window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active,experiment_type,split,is_baseline_experiment,traffic_probe_total,traffic_probe_success,traffic_probe_success_rate,event_count,source_artifact_dir
1779525458333,1779525459333,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,206,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,2,1,1,1,2,1,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525459333,1779525460333,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,196,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525460333,1779525461333,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,198,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525461333,1779525462333,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,203,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525462333,1779525463333,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,154,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525472401,1779525473401,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,203,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,2,1,1,1,2,1,0,control_plane_recovery,event_manifest,0,1,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525473401,1779525474401,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525474401,1779525475401,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,222,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525475401,1779525476401,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,180,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525476401,1779525477401,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,179,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525477401,1779525478401,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,205,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525478401,1779525479401,1.000,agent-restart-20260523T083729Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,190,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779520959525,1779520960525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,233,0,0,0,0,0,0,0,233,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,2,1,1,1,2,1,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520960525,1779520961525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,145,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520961525,1779520962525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,207,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520962525,1779520963525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,207,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520963525,1779520964525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,164,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520964525,1779520965525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,156,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520965525,1779520966525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,72,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520966525,1779520967525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,137,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,1,1,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520967525,1779520968525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,179,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,131,131,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520968525,1779520969525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,198,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,154,58,1,73,73,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520969525,1779520970525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,195,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520970525,1779520971525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,182,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520971525,1779520972525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,132,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520972525,1779520973525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,177,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520973525,1779520974525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,169,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520974525,1779520975525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,214,0,0,0,0,0,0,0,214,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520975525,1779520976525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,175,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520976525,1779520977525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,271,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,58,58,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520977525,1779520978525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,230,15,3,0,3,3,15,15,200,15,0,0,0,0,0,0,0,61,61,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520978525,1779520979525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,279,20,4,0,4,4,20,20,239,20,0,0,0,0,0,0,0,21,21,1,44,44,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520979525,1779520980525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,252,20,4,0,4,4,20,20,212,20,0,0,0,0,0,0,0,25,25,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
1779520980525,1779520981525,1.000,backend-rollout-restart-20260523T072229Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,283,25,5,0,5,5,25,25,233,25,0,0,0,0,0,0,0,30,30,0,0,0,60,10,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,train,0,358,358,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z
